GrLivArea,SalePrice
2531,290000
864,127500
1301,100000
1547,215200
2365,337000
1494,270000
1506,264132
1714,196500
1750,160000
1836,216837
3279,538000
858,134900
1220,102000
1117,107000
912,114500
1973,395000
1204,162000
1614,221500
894,142500
2020,144000
1004,135000
1253,176000
1603,175900
1430,187100
1110,165500
1484,128000
1342,161500
1652,139000
2084,233000
901,107900
2087,187500
1145,160200
1062,146800
2013,269790
1496,225000
1895,194500
1564,171000
1285,143500
773,110000
3140,485000
1768,175000
1688,200000
1196,109900
1456,189000
2822,582933
1128,118000
1428,227680
980,135500
1576,223500
1086,159950
2138,106000
1309,181000
848,144500
1044,55993
1442,157900
1250,116000
1661,224900
1008,137000
1689,271000
1052,155000
1358,224000
1640,183000
936,93000
1733,225000
1489,139500
1489,232600
2084,385000
784,109500
1434,189000
2126,185000
1223,147400
1392,166000
1200,151000
1829,237000
1516,167000
1144,139950
1067,128000
1559,153500
987,100000
1099,144000
1200,130500
1482,140000
1539,157500
1165,174900
1800,141000
1416,153900
1701,171000
1775,213000
864,133500
2358,240000
1855,187000
848,131500
1456,215000
1646,164000
1445,158000
1779,170000
1040,127000
1026,147000
1481,174000
1370,152000
2654,250000
1426,189950
1039,131500
1097,152000
1148,132500
1372,250580
1002,148500
1646,248900
1120,129000
2320,169000
1949,236000
894,109500
1682,200500
910,116000
1268,133000
1131,66500
2610,303477
1040,132250
2224,350000
1155,148000
864,136500
1090,157000
1717,187500
1593,178000
2230,118500
892,100000
1709,328900
1712,145000
1393,135500
2217,268000
1505,149500
924,122900
1683,172500
1068,154500
1383,165000
1535,118858
1796,140000
951,106500
2240,142953
2364,611657
1236,135000
858,110000
1306,153000
1509,180000
1670,240000
902,125500
1063,128000
1636,255000
2057,250000
902,131000
1484,174000
2274,154300
1268,143500
1015,88000
2002,145000
1224,173733
1092,75000
480,35311
1229,135000
2127,238000
1414,176500
1721,201000
2200,145900
1316,169990
1617,193000
1686,207500
1126,175000
2374,285000
1978,176000
1788,236500
2236,222000
1466,201000
925,117500
1905,320000
1500,190000
2069,242000
747,79900
1200,184900
1971,253000
1962,239799
2403,244400
1728,150900
2060,214000
1440,150000
1632,143000
1344,137500
1869,124900
1144,143000
1629,270000
1776,192500
1381,197500
864,129000
965,119900
768,133900
1968,172000
980,127500
1958,145000
1229,124000
1057,132000
1337,185000
1416,155000
858,116500
2872,272000
1548,155000
1800,239000
1894,214900
1484,178900
1308,160000
1098,135000
968,37900
1095,140000
1192,135000
1626,173000
918,99500
1428,182000
2019,167500
1382,165000
869,85500
1241,199900
894,110000
1121,139000
999,178400
2612,336000
1266,159895
2290,255900
1734,126000
1164,125000
1635,117000
1940,395192
2030,195000
1576,197000
2392,348000
1742,168000
1851,187000
1500,173900
1718,337500
1230,121600
1050,136500
1442,185000
1077,91000
1208,206000
944,82000
691,86000
1574,232000
1680,136905
1504,181000
985,149900
1657,163500
1092,88000
1710,240000
1522,102000
1271,135000
1664,100000
1502,165000
1022,85000
1082,119200
1665,227000
1504,203000
1360,187500
1472,160000
1506,213490
1132,176000
1220,194000
1248,87000
1504,191000
2898,287000
882,112500
1264,167500
